I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-24.880000000000003,-138.38400000000001,-118.21600000000001,78.432,51.608,-127.8,-414.448,-712.216,-562.104,-169.064,-16.159999999999997,49.256
-22.880000000000003,-128.38400000000001,-110.21600000000001,73.432,47.608,-118.8,-354.448,-610.216,-492.104,-157.064,-27.159999999999997,35.256
-20.880000000000003,-119.384,-101.21600000000001,68.432,43.608,-109.8,-293.448,-508.216,-421.104,-145.064,-38.16,21.256
-18.880000000000003,-110.384,-92.21600000000001,63.432,39.608,-100.8,-232.448,-406.216,-351.104,-133.064,-48.16,7.256
-16.880000000000003,-100.384,-83.21600000000001,58.432,35.608,-91.8,-172.448,-304.216,-281.104,-122.064,-59.16,-6.744
-15.880000000000003,-92.384,-75.21600000000001,53.432,31.608,-82.8,-111.44800000000001,-202.216,-211.10399999999998,-110.064,-69.16,-20.744
-14.880000000000003,-82.384,-66.21600000000001,47.432,27.608,-72.8,-92.44800000000001,-167.216,-188.10399999999998,-99.064,-66.16,-20.744
-13.880000000000003,-73.384,-57.216,42.432,23.608,-63.8,-74.44800000000001,-134.216,-166.10399999999998,-88.064,-63.16,-19.744
-12.880000000000003,-64.384,-48.216,37.432,19.608,-53.8,-55.448,-100.21600000000001,-144.10399999999998,-79.064,-60.16,-18.744
-11.880000000000003,-55.384,-40.216,31.432000000000002,15.608,-43.8,-37.448,-67.21600000000001,-121.104,-68.064,-57.16,-18.744
-10.880000000000003,-45.384,-31.216,26.432000000000002,11.608,-33.8,-19.448,-35.216,-100.104,-57.06399999999999,-54.16,-17.744
-9.880000000000003,-36.384,-23.216,21.432000000000002,7.608,-24.799999999999997,-1.4480000000000004,-2.216000000000001,-78.104,-46.06399999999999,-51.16,-16.744
-8.880000000000003,-27.384,-14.216000000000001,16.432000000000002,3.6079999999999997,-14.799999999999997,16.552,31.784,-56.104,-36.06399999999999,-48.16,-16.744
-6.880000000000003,-24.384,-15.216000000000001,14.432000000000002,4.608,-15.799999999999997,20.552,39.784,-50.104,-33.06399999999999,-45.16,-16.744
-4.880000000000003,-22.384,-16.216,12.432000000000002,5.608,-16.799999999999997,23.552,46.784,-45.104,-31.063999999999993,-43.16,-17.744
-2.8800000000000026,-19.384,-18.216,10.432000000000002,7.608,-17.799999999999997,26.552,53.784,-40.104,-29.063999999999993,-41.16,-18.744
-1.8800000000000026,-17.384,-19.216,9.432000000000002,8.608,-18.799999999999997,30.552,60.784,-35.104,-27.063999999999993,-39.16,-19.744
0.11999999999999744,-14.384,-21.216,7.432000000000002,10.608,-19.799999999999997,33.552,68.78399999999999,-30.104,-25.063999999999993,-37.16,-20.744
2.1199999999999974,-12.384,-22.216,5.432000000000002,11.608,-20.799999999999997,36.552,75.78399999999999,-25.104,-23.063999999999993,-35.16,-21.744
3.1199999999999974,-10.384,-23.216,4.432000000000002,12.608,-21.799999999999997,39.552,82.78399999999999,-20.104,-21.063999999999993,-33.16,-21.744
2.1199999999999974,-11.384,-21.216,5.432000000000002,11.608,-21.799999999999997,42.552,85.78399999999999,-18.104,-20.063999999999993,-33.16,-23.744
0.11999999999999744,-12.384,-19.216,6.432000000000002,9.608,-20.799999999999997,45.552,87.78399999999999,-16.104,-19.063999999999993,-34.16,-25.744
-0.8800000000000026,-13.384,-16.216,7.432000000000002,7.608,-19.799999999999997,47.552,90.78399999999999,-14.104,-18.063999999999993,-35.16,-27.744
-2.8800000000000026,-15.384,-14.216000000000001,8.432000000000002,5.608,-18.799999999999997,50.552,92.78399999999999,-13.104,-17.063999999999993,-36.16,-28.744
-3.8800000000000026,-16.384,-11.216000000000001,9.432000000000002,3.6079999999999997,-17.799999999999997,53.552,95.78399999999999,-11.104,-16.063999999999993,-37.16,-30.744
-5.880000000000003,-17.384,-9.216000000000001,10.432000000000002,1.6079999999999997,-16.799999999999997,56.552,97.78399999999999,-9.104,-15.063999999999993,-38.16,-32.744
-6.880000000000003,-18.384,-7.216000000000001,11.432000000000002,0.6079999999999997,-15.799999999999997,58.552,99.78399999999999,-8.104,-15.063999999999993,-38.16,-33.744
-4.880000000000003,-16.384,-7.216000000000001,9.432000000000002,1.6079999999999997,-12.799999999999997,56.552,105.78399999999999,-3.103999999999999,-11.063999999999993,-35.16,-30.744
-2.8800000000000026,-13.384,-7.216000000000001,6.432000000000002,2.6079999999999997,-10.799999999999997,54.552,110.78399999999999,0.8960000000000008,-7.063999999999993,-31.159999999999997,-26.744
0.11999999999999744,-10.384,-7.216000000000001,3.432000000000002,3.6079999999999997,-8.799999999999997,51.552,116.78399999999999,5.896000000000001,-3.063999999999993,-27.159999999999997,-23.744
2.1199999999999974,-7.384,-7.216000000000001,1.4320000000000022,5.608,-5.799999999999997,49.552,122.78399999999999,10.896,-0.06399999999999295,-23.159999999999997,-19.744
5.119999999999997,-4.384,-7.216000000000001,-1.5679999999999978,6.608,-3.799999999999997,46.552,127.78399999999999,14.896,3.936000000000007,-19.159999999999997,-16.744
7.119999999999997,-1.3840000000000003,-7.216000000000001,-4.567999999999998,7.608,-1.7999999999999972,45.552,133.784,19.896,7.936000000000007,-15.159999999999997,-12.744
9.119999999999997,0.6159999999999997,-7.216000000000001,-6.567999999999998,8.608,0.20000000000000284,43.552,138.784,23.896,10.936000000000007,-12.159999999999997,-9.744
13.119999999999997,1.6159999999999997,-10.216000000000001,-8.567999999999998,11.608,-0.7999999999999972,43.552,141.784,28.896,13.936000000000007,-9.159999999999997,-5.744
16.119999999999997,2.6159999999999997,-13.216000000000001,-10.567999999999998,14.608,-1.7999999999999972,44.552,144.784,33.896,16.936000000000007,-6.159999999999997,-2.7439999999999998
19.119999999999997,3.6159999999999997,-16.216,-12.567999999999998,17.608,-3.799999999999997,45.552,147.784,37.896,19.936000000000007,-4.159999999999997,0.2560000000000002
23.119999999999997,3.6159999999999997,-18.216,-13.567999999999998,20.608,-4.799999999999997,46.552,150.784,42.896,22.936000000000007,-1.1599999999999966,3.2560000000000002
26.119999999999997,4.616,-21.216,-15.567999999999998,23.608,-6.799999999999997,46.552,153.784,47.896,25.936000000000007,0.8400000000000034,6.256
29.119999999999997,5.616,-24.216,-17.567999999999998,26.608,-7.799999999999997,47.552,156.784,52.896,28.936000000000007,3.8400000000000034,9.256
32.12,5.616,-26.216,-18.567999999999998,29.608,-8.799999999999997,48.552,158.784,56.896,31.936000000000007,5.840000000000003,12.256
34.12,9.616,-25.216,-21.567999999999998,29.608,-6.799999999999997,46.552,162.784,60.896,34.93600000000001,6.840000000000003,12.256
35.12,12.616,-23.216,-23.567999999999998,29.608,-3.799999999999997,43.552,166.784,63.896,36.93600000000001,7.840000000000003,11.256
37.12,16.616,-21.216,-26.567999999999998,28.608,-0.7999999999999972,40.552,170.784,67.896,38.93600000000001,8.840000000000003,10.256
38.12,19.616,-19.216,-28.567999999999998,28.608,1.2000000000000028,36.552,174.784,71.896,40.93600000000001,8.840000000000003,10.256
40.12,23.616,-17.216,-31.567999999999998,27.608,4.200000000000003,33.552,178.784,74.896,42.93600000000001,9.840000000000003,9.256
41.12,26.616,-15.216000000000001,-33.568,27.608,7.200000000000003,30.552,182.784,78.896,44.93600000000001,10.840000000000003,8.256
42.12,29.616,-13.216000000000001,-35.568,27.608,9.200000000000003,27.552,186.784,81.896,46.93600000000001,10.840000000000003,8.256
47.12,35.616,-12.216000000000001,-41.568,29.608,12.200000000000003,23.552,194.784,90.896,53.93600000000001,16.840000000000003,12.256
52.12,40.616,-12.216000000000001,-46.568,32.608,15.200000000000003,19.552,202.784,99.896,61.93600000000001,23.840000000000003,17.256
57.12,46.616,-12.216000000000001,-52.568,34.608,18.200000000000003,15.552,210.784,109.896,68.936,29.840000000000003,21.256
62.12,51.616,-11.216000000000001,-57.568,37.608,21.200000000000003,11.552,218.784,118.896,75.936,35.84,26.256
67.12,56.616,-11.216000000000001,-62.568,39.608,24.200000000000003,7.552,226.784,127.896,83.936,41.84,31.256
72.12,62.616,-11.216000000000001,-68.568,42.608,27.200000000000003,3.5519999999999996,234.784,136.89600000000002,90.936,47.84,36.256
77.12,67.616,-11.216000000000001,-73.568,44.608,29.200000000000003,-0.4480000000000004,242.784,145.89600000000002,97.936,53.84,40.256
79.12,71.616,-9.216000000000001,-76.568,44.608,32.2,2.5519999999999996,251.784,154.89600000000002,104.936,58.84,44.256
80.12,74.616,-8.216000000000001,-78.568,43.608,35.2,5.552,259.784,163.89600000000002,111.936,62.84,47.256
82.12,77.616,-6.216000000000001,-80.568,42.608,38.2,9.552,267.784,171.89600000000002,117.936,67.84,51.256
83.12,80.616,-5.216000000000001,-82.568,41.608,40.2,13.552,276.784,180.89600000000002,124.936,71.84,54.256
85.12,84.616,-3.216000000000001,-84.568,40.608,43.2,16.552,284.784,189.89600000000002,131.936,75.84,57.256
86.12,87.616,-2.216000000000001,-86.568,39.608,46.2,20.552,293.784,197.89600000000002,137.936,80.84,61.256
87.12,90.616,-1.216000000000001,-88.568,38.608,48.2,23.552,301.784,206.89600000000002,144.936,84.84,64.256
93.12,98.616,1.783999999999999,-95.568,40.608,53.2,19.552,312.784,219.89600000000002,153.936,91.84,71.256
98.12,105.616,3.783999999999999,-101.568,43.608,57.2,14.552,324.784,232.89600000000002,163.936,98.84,77.256
104.12,112.616,5.783999999999999,-108.568,45.608,62.2,10.552,335.784,245.89600000000002,172.936,105.84,84.256
110.12,120.616,8.783999999999999,-114.568,48.608,67.2,5.552,346.784,258.896,182.936,112.84,90.256
115.12,127.616,10.783999999999999,-121.568,50.608,71.2,0.5519999999999996,357.784,271.896,191.936,118.84,97.256
121.12,135.61599999999999,12.783999999999999,-128.56799999999998,53.608,76.2,-4.448,369.784,284.896,201.936,125.84,104.256
126.12,142.61599999999999,14.783999999999999,-134.56799999999998,55.608,80.2,-8.448,380.784,297.896,210.936,132.84,110.256
137.12,153.61599999999999,15.783999999999999,-145.56799999999998,60.608,86.2,-12.448,397.784,316.896,227.936,143.84,118.256
147.12,163.61599999999999,16.784,-155.56799999999998,66.608,91.2,-17.448,415.784,335.896,243.936,155.84,127.256
