I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
48.992,55.24,7.584,-53.968,13.72,29.4,-24.952,-17.592,-11.024,27.832,54.512,31.432
48.992,51.24,7.584,-51.968,13.72,27.4,-22.952,-13.591999999999999,-11.024,27.832,54.512,31.432
48.992,46.24,6.584,-48.968,13.72,25.4,-20.952,-9.591999999999999,-11.024,27.832,54.512,31.432
45.992,41.24,1.5839999999999996,-43.968,13.72,22.4,-17.952,-9.591999999999999,-11.024,24.832,51.512,31.432
41.992,37.24,-0.41600000000000037,-38.968,13.72,19.4,-16.952,-9.591999999999999,-12.024,21.832,49.512,30.432
36.992,33.24,-0.41600000000000037,-33.968,13.72,16.4,-16.952,-9.591999999999999,-13.024,18.832,48.512,29.432
31.991999999999997,30.240000000000002,-0.41600000000000037,-28.968000000000004,13.72,13.399999999999999,-16.952,-9.591999999999999,-15.024,15.832,46.512,27.432
26.991999999999997,28.240000000000002,-0.41600000000000037,-26.968000000000004,11.72,13.399999999999999,-13.952000000000002,-9.591999999999999,-15.024,12.832,43.512,19.432
23.991999999999997,24.240000000000002,-0.41600000000000037,-23.968000000000004,9.72,12.399999999999999,-12.952000000000002,-11.591999999999999,-18.024,9.832,39.512,13.431999999999999
23.991999999999997,19.240000000000002,-0.41600000000000037,-21.968000000000004,9.72,9.399999999999999,-12.952000000000002,-16.592,-25.024,4.832000000000001,32.512,8.431999999999999
22.991999999999997,16.240000000000002,-0.41600000000000037,-19.968000000000004,9.72,7.399999999999999,-12.952000000000002,-17.592,-27.024,2.8320000000000007,29.512,6.431999999999999
20.991999999999997,15.240000000000002,-0.41600000000000037,-17.968000000000004,9.72,6.399999999999999,-12.952000000000002,-17.592,-27.024,2.8320000000000007,29.512,6.431999999999999
19.991999999999997,13.240000000000002,-0.41600000000000037,-15.968000000000004,9.72,4.399999999999999,-12.952000000000002,-17.592,-27.024,2.8320000000000007,29.512,6.431999999999999
16.991999999999997,10.240000000000002,-0.41600000000000037,-10.968000000000004,6.720000000000001,4.399999999999999,-12.952000000000002,-17.592,-27.024,2.8320000000000007,29.512,6.431999999999999
14.991999999999997,9.240000000000002,-0.41600000000000037,-7.9680000000000035,4.720000000000001,4.399999999999999,-12.952000000000002,-18.592,-28.024,0.8320000000000007,27.512,5.431999999999999
11.991999999999997,9.240000000000002,-0.41600000000000037,-7.9680000000000035,1.7200000000000006,4.399999999999999,-12.952000000000002,-20.592,-31.024,-4.167999999999999,22.512,3.4319999999999986
11.991999999999997,8.240000000000002,-0.41600000000000037,-6.9680000000000035,1.7200000000000006,3.3999999999999986,-12.952000000000002,-22.592,-33.024,-8.168,18.512,1.4319999999999986
11.991999999999997,6.240000000000002,-0.41600000000000037,-4.9680000000000035,1.7200000000000006,1.3999999999999986,-12.952000000000002,-24.592,-35.024,-11.168,15.512,-0.5680000000000014
11.991999999999997,4.240000000000002,-0.41600000000000037,-3.9680000000000035,1.7200000000000006,-0.6000000000000014,-12.952000000000002,-25.592,-36.024,-14.168,12.512,-1.5680000000000014
11.991999999999997,2.240000000000002,-3.4160000000000004,-3.9680000000000035,1.7200000000000006,-2.6000000000000014,-12.952000000000002,-25.592,-39.024,-17.168,12.512,-1.5680000000000014
11.991999999999997,-0.759999999999998,-5.416,-2.9680000000000035,2.7200000000000006,-4.600000000000001,-13.952000000000002,-26.592,-41.024,-19.168,11.512,-3.5680000000000014
11.991999999999997,-3.759999999999998,-7.416,-0.9680000000000035,3.7200000000000006,-6.600000000000001,-14.952000000000002,-27.592,-43.024,-20.168,7.5120000000000005,-6.568000000000001
11.991999999999997,-7.759999999999998,-8.416,0.031999999999996476,5.720000000000001,-7.600000000000001,-16.952,-29.592,-44.024,-22.168,4.5120000000000005,-10.568000000000001
6.991999999999997,-7.759999999999998,-8.416,0.031999999999996476,5.720000000000001,-7.600000000000001,-16.952,-32.592,-49.024,-27.168,1.5120000000000005,-12.568000000000001
2.9919999999999973,-7.759999999999998,-9.416,0.031999999999996476,5.720000000000001,-9.600000000000001,-16.952,-34.592,-53.024,-32.168,-0.48799999999999955,-14.568000000000001
2.9919999999999973,-10.759999999999998,-12.416,0.031999999999996476,5.720000000000001,-14.600000000000001,-16.952,-37.592,-56.024,-37.168,-3.4879999999999995,-14.568000000000001
2.9919999999999973,-12.759999999999998,-14.416,1.0319999999999965,6.720000000000001,-17.6,-16.952,-38.592,-57.024,-39.168,-4.4879999999999995,-14.568000000000001
2.9919999999999973,-14.759999999999998,-15.416,3.0319999999999965,8.72,-19.6,-16.952,-38.592,-57.024,-39.168,-4.4879999999999995,-14.568000000000001
2.9919999999999973,-15.759999999999998,-17.416,5.0319999999999965,9.72,-20.6,-16.952,-38.592,-57.024,-39.168,-4.4879999999999995,-14.568000000000001
2.9919999999999973,-18.759999999999998,-19.416,5.0319999999999965,9.72,-23.6,-16.952,-38.592,-57.024,-39.168,-4.4879999999999995,-14.568000000000001
2.9919999999999973,-19.759999999999998,-21.416,5.0319999999999965,9.72,-24.6,-16.952,-38.592,-58.024,-40.168,-4.4879999999999995,-14.568000000000001
2.9919999999999973,-19.759999999999998,-21.416,5.0319999999999965,9.72,-24.6,-16.952,-38.592,-60.024,-42.168,-7.4879999999999995,-14.568000000000001
2.9919999999999973,-21.759999999999998,-21.416,6.0319999999999965,9.72,-24.6,-16.952,-37.592,-61.024,-43.168,-8.488,-14.568000000000001
2.9919999999999973,-22.759999999999998,-21.416,7.0319999999999965,9.72,-24.6,-16.952,-35.592,-61.024,-43.168,-8.488,-14.568000000000001
